name,mp,pp,unweighted_claim_mistakes_per_claim,unweighted_lead_mistakes_per_lead,unweighted_mistakes_as_declarer,unweighted_mistakes_as_defender,unweighted_defender_missed_current_double,unweighted_defender_erroneously_doubled,unweighted_defender_missed_higher_contract,unweighted_declarer_missed_higher_contract,unweighted_declarer_missed_doubling_opponents_last_bid,unweighted_declarer_missed_opponents_last_redouble,unweighted_declarer_missed_redoubling_opponents_erroneous_double,unweighted_declarer_missed_opponents_last_bid,unweighted_declarer_erroneous_redouble,unweighted_passed_higher_contract
Boris Schapiro,348.0,11.0,0.0273972602739726,0.12244897959183673,0.043373493975903614,0.014606741573033709,0.15384615384615385,0.0,0.08653846153846154,0.23076923076923078,0.028846153846153848,0.0,0.019230769230769232,0.009615384615384616,0.0,0.02403846153846154
Terence Reese,387.0,14.0,0.016129032258064516,0.2037037037037037,0.025495750708215296,0.020151133501259445,0.15934065934065933,0.0,0.08791208791208792,0.22527472527472528,0.03296703296703297,0.0,0.016483516483516484,0.01098901098901099,0.0,0.027472527472527472
Clifford Bishop,75.0,0.0,0.0,0.3333333333333333,0.0,0.039473684210526314,0.26666666666666666,0.0,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667
Kenneth Konstam,155.0,6.0,0.0,0.16216216216216217,0.024193548387096774,0.029465930018416207,0.1111111111111111,0.0,0.1,0.2722222222222222,0.044444444444444446,0.0,0.03333333333333333,0.044444444444444446,0.0,0.0
Milton Q Ellenby,75.0,0.0,0.007633587786259542,0.2558139534883721,0.030048076923076924,0.025032938076416336,0.13227513227513227,0.005291005291005291,0.07407407407407407,0.2698412698412698,0.0582010582010582,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872
Adam Meredith,50.0,0.0,0.007633587786259542,0.2222222222222222,0.03039832285115304,0.017711171662125342,0.10880829015544041,0.0,0.09844559585492228,0.24352331606217617,0.05699481865284974,0.0,0.04145077720207254,0.031088082901554404,0.0,0.0
John H Moran,25.0,0.0,0.0273972602739726,0.24,0.030805687203791468,0.023923444976076555,0.0891089108910891,0.0,0.09900990099009901,0.18811881188118812,0.07920792079207921,0.0,0.0297029702970297,0.0,0.0,0.009900990099009901
Leslie Dodds,50.0,0.0,0.016129032258064516,0.15,0.04,0.03151862464183381,0.11235955056179775,0.0,0.0898876404494382,0.2247191011235955,0.06741573033707865,0.0,0.033707865168539325,0.033707865168539325,0.0,0.0
Jordanis Pavlides,50.0,0.0,0.03571428571428571,0.125,0.017241379310344827,0.009900990099009901,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.022222222222222223,0.0,0.044444444444444446,0.0,0.0,0.0
Peter Leventritt,172.0,7.0,0.0,0.2571428571428571,0.017241379310344827,0.035175879396984924,0.19852941176470587,0.0,0.11029411764705882,0.25735294117647056,0.029411764705882353,0.0,0.014705882352941176,0.04411764705882353,0.0,0.0
Guglielmo Siniscalco,225.0,4.0,0.012295081967213115,0.19101123595505617,0.029585798816568046,0.022007042253521125,0.1618705035971223,0.0035971223021582736,0.09352517985611511,0.20503597122302158,0.06474820143884892,0.0,0.04316546762589928,0.007194244604316547,0.0,0.01079136690647482
Charles Goren,140.0,2.0,0.0,0.25,0.023809523809523808,0.07017543859649122,0.2727272727272727,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0
Pietro Forquet,0.0,58.0,0.013745704467353952,0.13513513513513514,0.03407880724174654,0.026446280991735537,0.1755485893416928,0.0,0.07523510971786834,0.2006269592476489,0.07836990595611286,0.0,0.03134796238244514,0.01567398119122257,0.0,0.003134796238244514
Eugenio Chiaradia,480.0,17.5,0.012345679012345678,0.1702127659574468,0.031840796019900496,0.01288659793814433,0.1308411214953271,0.004672897196261682,0.10747663551401869,0.26635514018691586,0.02336448598130841,0.0,0.03271028037383177,0.02336448598130841,0.0,0.004672897196261682
Boris Koytchou,153.0,0.5,0.0,0.1694915254237288,0.0350609756097561,0.028894472361809045,0.12568306010928962,0.01092896174863388,0.12021857923497267,0.23497267759562843,0.0546448087431694,0.0,0.02185792349726776,0.0,0.0,0.00546448087431694
Massimo 'mimmo' D'Alelio,1185.0,44.0,0.015384615384615385,0.27450980392156865,0.034303534303534305,0.020689655172413793,0.15126050420168066,0.004201680672268907,0.09243697478991597,0.25210084033613445,0.029411764705882353,0.0,0.029411764705882353,0.02100840336134454,0.0,0.0
Giorgio Belladonna,2256.0,77.5,0.022249690976514216,0.1729957805907173,0.02946035242290749,0.015590809628008753,0.15696465696465697,0.005197505197505198,0.09043659043659044,0.20997920997921,0.07588357588357589,0.0,0.018711018711018712,0.016632016632016633,0.0,0.004158004158004158
William Seamon,37.0,1.0,0.0,0.25,0.0,0.06382978723404255,0.18181818181818182,0.0,0.2727272727272727,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0
Walter Avarelli,1200.0,44.0,0.013850415512465374,0.21505376344086022,0.03594351732991014,0.018495684340320593,0.1390728476821192,0.004415011037527594,0.10375275938189846,0.22958057395143489,0.0728476821192053,0.0,0.02207505518763797,0.011037527593818985,0.0,0.002207505518763797
Lee Hazen,70.0,2.0,0.0,0.09090909090909091,0.04797047970479705,0.028112449799196786,0.13095238095238096,0.023809523809523808,0.047619047619047616,0.27380952380952384,0.047619047619047616,0.0,0.0,0.023809523809523808,0.0,0.011904761904761904
Leonard Harmon,49.0,2.5,0.0,0.18181818181818182,0.03207547169811321,0.030612244897959183,0.1,0.008333333333333333,0.10833333333333334,0.20833333333333334,0.05,0.0,0.05,0.008333333333333333,0.0,0.008333333333333333
Ivar Stakgold,52.0,2.5,0.0,0.18181818181818182,0.02830188679245283,0.03225806451612903,0.1,0.008333333333333333,0.10833333333333334,0.20833333333333334,0.05,0.0,0.05,0.008333333333333333,0.0,0.008333333333333333
Sam Fry Jr,45.0,2.0,0.0,0.15,0.019138755980861243,0.019851116625310174,0.056074766355140186,0.018691588785046728,0.09345794392523364,0.2803738317757009,0.037383177570093455,0.0,0.009345794392523364,0.018691588785046728,0.0,0.0
Sidney Lazard,111.0,5.5,0.0,0.2222222222222222,0.026373626373626374,0.024608501118568233,0.07964601769911504,0.017699115044247787,0.08849557522123894,0.26548672566371684,0.035398230088495575,0.0,0.008849557522123894,0.017699115044247787,0.0,0.0
Nico Gardener,170.0,8.0,0.0,0.23809523809523808,0.044585987261146494,0.017241379310344827,0.17708333333333334,0.0,0.20833333333333334,0.3020833333333333,0.041666666666666664,0.0,0.020833333333333332,0.010416666666666666,0.0,0.010416666666666666
Ron Von Der Porten,0.0,5.5,0.051470588235294115,0.2,0.03927492447129909,0.036468330134357005,0.09340659340659341,0.0,0.09340659340659341,0.2802197802197802,0.06593406593406594,0.0,0.038461538461538464,0.016483516483516484,0.0,0.005494505494505495
Mervin Key,49.0,2.5,0.0,0.21428571428571427,0.03614457831325301,0.025906735751295335,0.25,0.0,0.19230769230769232,0.25,0.057692307692307696,0.0,0.0,0.0,0.0,0.0
Claude Rodrigue,155.0,5.5,0.0,0.3333333333333333,0.04782608695652174,0.031496062992125984,0.1076923076923077,0.0,0.12307692307692308,0.35384615384615387,0.03076923076923077,0.0,0.03076923076923077,0.046153846153846156,0.0,0.0
Tony Priday,142.0,5.5,0.021897810218978103,0.23255813953488372,0.03619909502262444,0.030821917808219176,0.15300546448087432,0.0,0.16393442622950818,0.2786885245901639,0.08196721311475409,0.0,0.01092896174863388,0.01092896174863388,0.0,0.0
Charles Coon,872.0,4.5,0.0,0.22727272727272727,0.038580246913580245,0.02924791086350975,0.12295081967213115,0.004098360655737705,0.1680327868852459,0.3114754098360656,0.05327868852459016,0.0,0.00819672131147541,0.00819672131147541,0.0,0.0
Alan Truscott,44.0,2.0,0.015151515151515152,0.25,0.026119402985074626,0.0084985835694051,0.1559633027522936,0.0,0.1743119266055046,0.30275229357798167,0.05504587155963303,0.0,0.009174311926605505,0.01834862385321101,0.0,0.0
Eric Murray,973.0,18.5,0.0,0.16666666666666666,0.03642384105960265,0.02936378466557912,0.1282051282051282,0.005128205128205128,0.14358974358974358,0.3128205128205128,0.05128205128205128,0.0,0.005128205128205128,0.010256410256410256,0.0,0.0
Benito Garozzo,23.0,75.0,0.014150943396226415,0.1762820512820513,0.031242713919328514,0.022082810539523212,0.14212765957446807,0.00425531914893617,0.08425531914893616,0.22127659574468084,0.08340425531914894,0.000851063829787234,0.01957446808510638,0.015319148936170212,0.0,0.001702127659574468
Lewis Mathe,160.0,4.0,0.027777777777777776,0.25,0.012658227848101266,0.006578947368421052,0.109375,0.015625,0.265625,0.359375,0.03125,0.0,0.0,0.0,0.0,0.0
Bobby Nail,144.0,4.5,0.027777777777777776,0.375,0.0273972602739726,0.038461538461538464,0.109375,0.015625,0.265625,0.359375,0.03125,0.0,0.0,0.0,0.0,0.0
Sami Kehela,0.0,16.5,0.02040816326530612,0.2391304347826087,0.032857142857142856,0.020967741935483872,0.12195121951219512,0.012195121951219513,0.10365853658536585,0.18902439024390244,0.08536585365853659,0.0,0.006097560975609756,0.006097560975609756,0.0,0.0
Camillo Pabis Ticci,910.0,36.0,0.0,0.058823529411764705,0.03968253968253968,0.03389830508474576,0.1864406779661017,0.0,0.05084745762711865,0.22033898305084745,0.05084745762711865,0.0,0.01694915254237288,0.0,0.0,0.0
Edgar Kaplan,1964.0,7.0,0.0,0.25,0.03205128205128205,0.03296703296703297,0.16666666666666666,0.0,0.06666666666666667,0.43333333333333335,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
Norman Kay,1615.0,14.0,0.03571428571428571,0.0,0.02631578947368421,0.05263157894736842,0.16666666666666666,0.0,0.06666666666666667,0.43333333333333335,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
William Root,680.0,8.0,0.0,0.2727272727272727,0.025974025974025976,0.023809523809523808,0.1111111111111111,0.0,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.022222222222222223,0.0,0.0
Bobby Goldman,22.0,0.0,0.0,0.15789473684210525,0.015625,0.023622047244094488,0.1111111111111111,0.0,0.044444444444444446,0.3111111111111111,0.03333333333333333,0.0,0.011111111111111112,0.011111111111111112,0.0,0.0
Bob Hamman,444.0,106.25,0.007782101167315175,0.17333333333333334,0.03134796238244514,0.025945945945945945,0.14950166112956811,0.0033222591362126247,0.09966777408637874,0.20930232558139536,0.0664451827242525,0.0033222591362126247,0.009966777408637873,0.009966777408637873,0.0,0.0
Bobby Wolff,35.0,68.25,0.017048481619605753,0.1848906560636183,0.028172866520787748,0.02475968540635013,0.15572967678746327,0.0019588638589618022,0.08276199804113614,0.22086190009794318,0.08570029382957885,0.0004897159647404506,0.01665034280117532,0.012242899118511263,0.0,0.002448579823702253
Benito Bianchi,218.0,14.0,0.045454545454545456,0.36363636363636365,0.009523809523809525,0.01875,0.15555555555555556,0.0,0.044444444444444446,0.17777777777777778,0.17777777777777778,0.0,0.0,0.022222222222222223,0.0,0.0
Jim Jacoby,1230.0,5.0,0.0,0.3333333333333333,0.02577319587628866,0.044444444444444446,0.1,0.0,0.1,0.3,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0
Mark Blumenthal,90.0,4.5,0.0,0.1,0.030927835051546393,0.014388489208633094,0.1111111111111111,0.0,0.044444444444444446,0.26666666666666666,0.0,0.0,0.022222222222222223,0.0,0.0,0.0
