name,mp,pp,claims,claim_mistakes,weighted_claim_mistakes,leads,lead_mistakes,weighted_lead_mistakes,cards_played_as_declarer,play_mistakes_as_declarer,weighted_play_mistakes_as_declarer,cards_played_as_defender,play_mistakes_as_defender,weighted_play_mistakes_as_defender,auctions_analyzed,defender_missed_current_double,weighted_defender_missed_current_double,defender_erroneously_doubled,weighted_defender_erroneously_doubled,defender_missed_higher_contract,weighted_defender_missed_higher_contract,declarer_missed_higher_contract,weighted_declarer_missed_higher_contract,declarer_missed_doubling_opponents_last_bid,weighted_declarer_missed_doubling_opponents_last_bid,declarer_missed_opponents_last_redouble,weighted_declarer_missed_opponents_last_redouble,declarer_missed_redoubling_opponents_erroneous_double,weighted_declarer_missed_redoubling_opponents_erroneous_double,declarer_missed_opponents_last_bid,weighted_declarer_missed_opponents_last_bid,declarer_erroneous_redouble,weighted_declarer_erroneous_redouble,passed_higher_contract,weighted_passed_higher_contract  
Boris Schapiro,348.0,11.0,146,4,340,49,6,410,830,36,5630,890,13,1990,208,32.0,5300.0,0,0,18.0,5370.0,48.0,17860.0,6.0,1520.0,0,0,4.0,2960.0,2.0,130.0,0,0,5,790
Terence Reese,387.0,14.0,124,2,260,54,11,2220,706,18,1980,794,16,2030,182,29.0,4950.0,0,0,16.0,4390.0,41.0,14680.0,6.0,1520.0,0,0,3.0,2480.0,2.0,130.0,0,0,5,790
Clifford Bishop,75.0,0.0,6,0,0,3,1,30,20,0,0,76,3,910,15,4.0,850.0,0,0,2.0,790.0,5.0,1900.0,1.0,600.0,0,0,0,0,0,0,0,0,1,400
Kenneth Konstam,155.0,6.0,124,0,0,37,6,1460,868,21,4160,543,16,2370,180,20.0,5200.0,0,0,18.0,14480.0,49.0,34660.0,8.0,5520.0,0,0,6.0,3500.0,8.0,3550.0,0,0,0,0
Milton Q Ellenby,75.0,0.0,131,1,30,43,11,1120,832,25,3130,759,19,4510,189,25.0,3300.0,1.0,550.0,14.0,3500.0,51.0,21590.0,11.0,4890.0,0,0,3.0,800.0,3.0,1180.0,0,0,3,590
Adam Meredith,50.0,0.0,131,1,30,45,10,2530,954,29,6980,734,13,1510,193,21.0,2150.0,0,0,19.0,6190.0,47.0,15710.0,11.0,8230.0,0,0,8.0,4920.0,6.0,2620.0,0,0,0,0
John H Moran,25.0,0.0,73,2,250,25,6,1990,422,13,3100,418,10,1110,101,9.0,1000.0,0,0,10.0,2740.0,19.0,4920.0,8.0,2680.0,0,0,3.0,1530.0,0,0,0,0,1,130
Leslie Dodds,50.0,0.0,62,1,30,20,3,690,400,16,2300,349,11,1640,89,10.0,1250.0,0,0,8.0,3650.0,20.0,5320.0,6.0,3770.0,0,0,3.0,2810.0,3.0,1300.0,0,0,0,0
Jordanis Pavlides,50.0,0.0,28,1,30,8,1,500,58,1,50,202,2,220,45,5.0,650.0,0,0,5.0,1010.0,10.0,3280.0,1.0,1400.0,0,0,2.0,860.0,0,0,0,0,0,0
Peter Leventritt,172.0,7.0,105,0,0,35,9,2320,522,9,1340,597,21,4160,136,27.0,3250.0,0,0,15.0,3030.0,35.0,14200.0,4.0,1650.0,0,0,2.0,1240.0,6.0,1760.0,0,0,0,0
Guglielmo Siniscalco,225.0,4.0,244,3,980,89,17,1040,1183,35,5480,1136,25,3610,278,45.0,7850.0,1.0,150.0,26.0,6020.0,57.0,17730.0,18.0,7620.0,0,0,12.0,6500.0,2.0,510.0,0,0,3,320
Charles Goren,140.0,2.0,10,0,0,4,1,100,42,1,100,57,4,1310,11,3.0,450.0,0,0,1.0,490.0,2.0,740.0,1.0,660.0,0,0,0,0,1.0,290.0,0,0,0,0
Pietro Forquet,0.0,58.0,291,4,400,74,10,1360,939,32,6400,1210,32,4300,319,56.0,9200.0,0,0,24.0,9170.0,64.0,32590.0,25.0,10390.0,0,0,10.0,4890.0,5.0,700.0,0,0,1,110
Eugenio Chiaradia,480.0,17.5,162,2,530,47,8,850,1005,32,6600,776,10,1470,214,28.0,5000.0,1.0,930.0,23.0,15660.0,57.0,30050.0,5.0,2680.0,0,0,7.0,5560.0,5.0,940.0,0,0,1,110
Boris Koytchou,153.0,0.5,141,0,0,59,10,2620,656,23,3860,796,23,6170,183,23.0,3300.0,2.0,510.0,22.0,5080.0,43.0,12750.0,10.0,3120.0,0,0,4.0,2740.0,0,0,0,0,1,130
Massimo 'mimmo' D'Alelio,1185.0,44.0,195,3,570,51,14,1770,962,33,6620,870,18,1810,238,36.0,7200.0,1.0,930.0,22.0,11260.0,60.0,24320.0,7.0,3210.0,0,0,7.0,5450.0,5.0,940.0,0,0,0,0
Giorgio Belladonna,2256.0,77.5,809,18,3080,237,41,9280,3632,107,20310,3656,57,12770,962,151.0,27350.0,5.0,1170.0,87.0,54420.0,202.0,91460.0,73.0,28810.0,0,0,18.0,10560.0,16.0,3820.0,0,0,4,380
William Seamon,37.0,1.0,9,0,0,4,1,20,36,0,0,47,3,290,11,2.0,200.0,0,0,3.0,810.0,4.0,770.0,0,0,0,0,0,0,0,0,0,0,0,0
Walter Avarelli,1200.0,44.0,361,5,320,93,20,2650,1558,56,8660,1622,30,4990,453,63.0,14900.0,2.0,250.0,47.0,44180.0,104.0,56070.0,33.0,12480.0,0,0,10.0,2780.0,5.0,1380.0,0,0,1,90
Lee Hazen,70.0,2.0,79,0,0,22,2,190,271,13,2880,249,7,1290,84,11.0,1550.0,2.0,320.0,4.0,1540.0,23.0,6880.0,4.0,1640.0,0,0,0,0,2.0,880.0,0,0,1,90
Leonard Harmon,49.0,2.5,113,0,0,33,6,370,530,17,2650,392,12,1400,120,12.0,1950.0,1.0,170.0,13.0,2690.0,25.0,8580.0,6.0,1920.0,0,0,6.0,3670.0,1.0,90.0,0,0,1,110
Ivar Stakgold,52.0,2.5,113,0,0,22,4,310,530,15,2580,403,13,2090,120,12.0,1950.0,1.0,170.0,13.0,2690.0,25.0,8580.0,6.0,1920.0,0,0,6.0,3670.0,1.0,90.0,0,0,1,110
Sam Fry Jr,45.0,2.0,102,0,0,20,3,810,418,8,2300,403,8,400,107,6.0,1050.0,2.0,470.0,10.0,2060.0,30.0,10610.0,4.0,2300.0,0,0,1.0,530.0,2.0,640.0,0,0,0,0
Sidney Lazard,111.0,5.5,108,0,0,36,8,840,455,12,1250,447,11,1060,113,9.0,1400.0,2.0,470.0,10.0,2060.0,30.0,10610.0,4.0,2300.0,0,0,1.0,530.0,2.0,640.0,0,0,0,0
Nico Gardener,170.0,8.0,57,0,0,21,5,320,314,14,3640,290,5,580,96,17.0,7700.0,0,0,20.0,31250.0,29.0,25050.0,4.0,1430.0,0,0,2.0,1420.0,1.0,660.0,0,0,1,120
Ron Von Der Porten,0.0,5.5,136,7,440,35,7,1770,662,26,4280,521,19,3210,182,17.0,5600.0,0,0,17.0,24830.0,51.0,37050.0,12.0,6830.0,0,0,7.0,5000.0,3.0,930.0,0,0,1,120
Mervin Key,49.0,2.5,40,0,0,14,3,330,166,6,2210,193,5,930,52,13.0,6650.0,0,0,10.0,9000.0,13.0,11250.0,3.0,3430.0,0,0,0,0,0,0,0,0,0,0
Claude Rodrigue,155.0,5.5,39,0,0,9,3,460,230,11,2780,127,4,460,65,7.0,3400.0,0,0,8.0,11530.0,23.0,23910.0,2.0,1660.0,0,0,2.0,1770.0,3.0,1170.0,0,0,0,0
Tony Priday,142.0,5.5,137,3,270,43,10,2390,442,16,2250,584,18,2660,183,28.0,10050.0,0,0,30.0,39480.0,51.0,42830.0,15.0,7440.0,0,0,2.0,-2170.0,2.0,220.0,0,0,0,0
Charles Coon,872.0,4.5,146,0,0,44,10,850,648,25,4700,718,21,3810,244,30.0,17550.0,1.0,170.0,41.0,61000.0,76.0,76400.0,13.0,6850.0,0,0,2.0,2440.0,2.0,280.0,0,0,0,0
Alan Truscott,44.0,2.0,66,1,200,20,5,170,268,7,1460,353,3,100,109,17.0,7850.0,0,0,19.0,31540.0,33.0,35930.0,6.0,2760.0,0,0,1.0,560.0,2.0,220.0,0,0,0,0
Eric Murray,973.0,18.5,121,0,0,36,6,1250,604,22,3360,613,18,1760,195,25.0,11900.0,1.0,170.0,28.0,41290.0,61.0,59000.0,10.0,5050.0,0,0,1.0,820.0,2.0,280.0,0,0,0,0
Benito Garozzo,23.0,75.0,1060,15,1990,312,55,15460,4289,134,20000,3985,88,12420,1175,167.0,29850.0,5.0,1180.0,99.0,38270.0,260.0,127220.0,98.0,40660.0,1.0,310.0,23.0,17020.0,18.0,4610.0,0,0,2,170
Lewis Mathe,160.0,4.0,36,1,50,12,3,450,158,2,240,152,1,200,64,7.0,5250.0,1.0,560.0,17.0,27070.0,23.0,23690.0,2.0,730.0,0,0,0,0,0,0,0,0,0,0
Bobby Nail,144.0,4.5,36,1,50,8,3,1720,146,4,150,156,6,2550,64,7.0,5250.0,1.0,560.0,17.0,27070.0,23.0,23690.0,2.0,730.0,0,0,0,0,0,0,0,0,0,0
